CompoundType (class=java.lang.String)
2952740 = Minor+Metabolite
c_gamma-glutamylglycine = Compound
2752273 = Minor+Metabolite
2752274 = Minor+Metabolite
2752275 = Metabolite
2752271 = Enzyme
2752272 = Minor+Metabolite
2951448 = Minor+Metabolite
2950116 = Minor+Metabolite
2951447 = Minor+Metabolite
2950119 = Minor+Metabolite
2952778 = Minor+Metabolite
2950118 = Enzyme
2951449 = Enzyme
2952779 = Enzyme
2950113 = Metabolite
2951444 = Enzyme
c_umbelliferone+sulfate = Compound
2950112 = Enzyme
2952777 = Minor+Metabolite
2950115 = Minor+Metabolite
2951446 = Class
2952774 = Enzyme
2950114 = Minor+Metabolite
2949120 = Minor+Metabolite
2951440 = Minor+Metabolite
2952773 = Cofactor
2950111 = Metabolite
2951442 = Metabolite
2952770 = Minor+Metabolite
2950110 = Metabolite
2951441 = Minor+Metabolite
2949124 = Metabolite
2949123 = Enzyme
2949122 = Metabolite
2949121 = Minor+Metabolite
2949128 = Enzyme
2949127 = Minor+Metabolite
2949125 = Minor+Metabolite
c_1-palmitoyl-2-arachidonoyl-GPE+%2816%3A0%2F20%3A4%29* = Compound
2949129 = Metabolite
2752259 = Metabolite
2752255 = Minor+Metabolite
2752256 = Metabolite
2950109 = Minor+Metabolite
2752257 = Metabolite
2752258 = Enzyme
2950106 = Minor+Metabolite
2951437 = Enzyme
2952769 = Minor+Metabolite
c_alpha-ketoglutarate = Compound
2950105 = Cofactor
2951436 = Minor+Metabolite
2950108 = Enzyme
2951439 = Cofactor
2952767 = Minor+Metabolite
2950107 = Metabolite
2951438 = Minor+Metabolite
2952768 = Enzyme
2950102 = Metabolite
2951433 = Minor+Metabolite
2952765 = Minor+Metabolite
2950101 = Enzyme
2951432 = Minor+Metabolite
2952766 = Minor+Metabolite
2951435 = Cofactor
2952763 = Minor+Metabolite
c_Unknown+-+23739 = Compound
2950103 = Cofactor
2952764 = Minor+Metabolite
2951431 = Minor+Metabolite
2951430 = Minor+Metabolite
2952760 = Enzyme
c_21-hydroxypregnenolone+disulfate = Compound
2949113 = Minor+Metabolite
2949112 = Minor+Metabolite
2949111 = Metabolite
2949110 = Minor+Metabolite
2949117 = Metabolite
2949116 = Metabolite
2752253 = Enzyme
2949115 = Enzyme
2752254 = Minor+Metabolite
c_O-acetylhomoserine = Compound
2949119 = Metabolite
2949118 = Enzyme
2950139 = Metabolite
2950138 = Minor+Metabolite
2950135 = Enzyme
2952798 = Minor+Metabolite
2950134 = Minor+Metabolite
2951465 = Enzyme
2952799 = Minor+Metabolite
2950137 = Cofactor
2952796 = Enzyme
2950136 = Minor+Metabolite
2951467 = Minor+Metabolite
2952797 = Metabolite
2949142 = Minor+Metabolite
2950131 = Metabolite
2951462 = Minor+Metabolite
2950130 = Enzyme
2951461 = Minor+Metabolite
2949140 = Enzyme
2950133 = Minor+Metabolite
2952792 = Minor+Metabolite
2952793 = Minor+Metabolite
2949146 = Enzyme
2952790 = Minor+Metabolite
2949145 = Metabolite
2952791 = Enzyme
c_oleoyl-oleoyl-glycerol+%2818%3A1%2F18%3A1%29+%5B2%5D* = Compound
c_sulfate+of+piperine+metabolite+C18H21NO3+%283%29* = Compound
2949144 = Minor+Metabolite
2951460 = Enzyme
2949143 = Minor+Metabolite
2949149 = Enzyme
2949147 = Metabolite
2950128 = Class
2951459 = Cofactor
2950127 = Class
2951458 = Minor+Metabolite
2952789 = Minor+Metabolite
2950124 = Minor+Metabolite
2952787 = Minor+Metabolite
2952788 = Minor+Metabolite
2951457 = Metabolite
2952785 = Metabolite
2950125 = Enzyme
2951456 = Minor+Metabolite
2949131 = Enzyme
2950120 = Minor+Metabolite
2951451 = Metabolite
2949130 = Metabolite
2951450 = Minor+Metabolite
2952784 = Enzyme
2951453 = Enzyme
2952781 = Metabolite
2950121 = Cofactor
2951452 = Metabolite
2952782 = Minor+Metabolite
2949135 = Enzyme
c_N-acetylglutamate = Compound
2952780 = Minor+Metabolite
2949133 = Minor+Metabolite
2949132 = Metabolite
2949139 = Minor+Metabolite
2949138 = Minor+Metabolite
2949136 = Metabolite
p_Fatty+Acid%2C+Monohydroxy = Sub+Pathway
2782098 = Minor+Metabolite
2782099 = Metabolite
2782096 = Minor+Metabolite
2782097 = Cofactor
2782094 = Metabolite
2782095 = Enzyme
2782092 = Minor+Metabolite
c_ferulic+acid+4-sulfate = Compound
2782093 = Minor+Metabolite
2782090 = Minor+Metabolite
2782091 = Minor+Metabolite
2782089 = Metabolite
2782087 = Enzyme
2782088 = Minor+Metabolite
2782085 = Metabolite
2782086 = Metabolite
2782083 = Metabolite
2782084 = Enzyme
2782081 = Enzyme
2782082 = Metabolite
c_salicylate = Compound
2782080 = Minor+Metabolite
c_thioproline = Compound
2782078 = Minor+Metabolite
2782079 = Metabolite
2782076 = Minor+Metabolite
2782077 = Minor+Metabolite
2782074 = Metabolite
2782075 = Minor+Metabolite
2782072 = FinalPathway
2782073 = Enzyme
c_erucate+%2822%3A1n9%29 = Compound
p_Vitamin+A+Metabolism = Sub+Pathway
2782069 = FinalPathway
c_glutarate+%28C5-DC%29 = Compound
c_octadecanedioate+%28C18-DC%29 = Compound
2782066 = FinalPathway
2782063 = Label
2782060 = Minor+Metabolite
2782059 = Enzyme
2782056 = Minor+Metabolite
2782057 = Minor+Metabolite
2782055 = Minor+Metabolite
2782053 = Enzyme
2782050 = Metabolite
2782051 = Minor+Metabolite
2782049 = Enzyme
c_daidzein+sulfate+%282%29 = Compound
2782047 = Minor+Metabolite
c_docosapentaenoylcarnitine+%28C22%3A5n3%29* = Compound
2782048 = Class
2782046 = Minor+Metabolite
2782043 = Minor+Metabolite
2782044 = Enzyme
2782041 = Minor+Metabolite
2782042 = Minor+Metabolite
c_Unknown+-+15245 = Compound
c_Unknown+-+16576 = Compound
2952718 = Enzyme
p_Polypeptide = Sub+Pathway
2952716 = Minor+Metabolite
2952717 = Cofactor
2782038 = Enzyme
2952714 = Minor+Metabolite
2782036 = Minor+Metabolite
2952712 = Minor+Metabolite
2782037 = Minor+Metabolite
2784698 = Enzyme
2784697 = Minor+Metabolite
2952710 = Minor+Metabolite
2782035 = Class
2784696 = Minor+Metabolite
2952711 = Enzyme
2782032 = Minor+Metabolite
2784695 = Minor+Metabolite
c_Unknown+-+16570 = Compound
2782033 = Enzyme
2784694 = Minor+Metabolite
c_1-stearoyl-2-dihomo-linolenoyl-GPE+%2818%3A0%2F20%3A3n3+or+6%29* = Compound
2782030 = Minor+Metabolite
2782031 = Minor+Metabolite
2784692 = Metabolite
2784691 = Enzyme
2784690 = Metabolite
2952709 = Minor+Metabolite
2782029 = Minor+Metabolite
2952705 = Minor+Metabolite
2952706 = Minor+Metabolite
c_Unknown+-+16580 = Compound
2952703 = Enzyme
c_5-methylthioadenosine+%28MTA%29 = Compound
2784689 = Metabolite
2952704 = Minor+Metabolite
2782025 = Metabolite
2784688 = Unknown
2782026 = Enzyme
2784687 = Minor+Metabolite
2952702 = Metabolite
2782023 = Minor+Metabolite
2784686 = Minor+Metabolite
2782024 = Minor+Metabolite
2784685 = Minor+Metabolite
2952700 = Minor+Metabolite
2782021 = Enzyme
2784684 = Metabolite
2784682 = Enzyme
2784681 = Minor+Metabolite
2784680 = Minor+Metabolite
2783229 = Minor+Metabolite
2934992 = Minor+Metabolite
2783226 = Minor+Metabolite
2934993 = Cofactor
2783225 = Enzyme
2934990 = Metabolite
2783224 = Minor+Metabolite
2934991 = Minor+Metabolite
2783222 = Minor+Metabolite
2934997 = Minor+Metabolite
2783221 = Minor+Metabolite
2934994 = Metabolite
2934995 = Enzyme
p_Acetylated+Peptides = Sub+Pathway
2934998 = Minor+Metabolite
2934999 = Minor+Metabolite
c_N1-Methyl-2-pyridone-5-carboxamide = Compound
p_Histidine+Metabolism = Sub+Pathway
c_galactonate = Compound
c_isoursodeoxycholate = Compound
2783217 = Enzyme
2934981 = Minor+Metabolite
2783215 = Minor+Metabolite
2934982 = Metabolite
2783214 = Cofactor
2783213 = Minor+Metabolite
2934980 = Minor+Metabolite
2783212 = Minor+Metabolite
c_succinimide = Compound
2934986 = Minor+Metabolite
2783210 = Enzyme
2934984 = Enzyme
2934989 = Enzyme
2934988 = Minor+Metabolite
2783209 = Metabolite
c_8-hydroxyoctanoate = Compound
2783208 = Minor+Metabolite
2783206 = Minor+Metabolite
c_1-dihomo-linolenoyl-GPC+%2820%3A3n3+or+6%29* = Compound
2783205 = Metabolite
2783203 = Minor+Metabolite
2783202 = Enzyme
2783201 = Minor+Metabolite
c_beta-citrylglutamate = Compound
c_N-acetylalanine = Compound
c_glycosyl-N-behenoyl-sphingadienine+%28d18%3A2%2F22%3A0%29* = Compound
c_tryptophan+betaine = Compound
c_palmitoleoyl-linoleoyl-glycerol+%2816%3A1%2F18%3A2%29+%5B1%5D* = Compound
c_caffeine = Compound
c_1-arachidoyl-2-arachidonoyl-GPC+%2820%3A0%2F20%3A4%29* = Compound
c_1-linoleoyl-2-eicosapentaenoyl-GPC+%2818%3A2%2F20%3A5%29* = Compound
c_glycodeoxycholate+sulfate = Compound
c_docosapentaenoate+%28n3+DPA%3B+22%3A5n3%29 = Compound
2949171 = Cofactor
2950157 = Metabolite
2951488 = Enzyme
2949170 = Cofactor
2950159 = Minor+Metabolite
2950158 = Minor+Metabolite
2951489 = Minor+Metabolite
2934912 = Cofactor
2949164 = Metabolite
2950153 = Minor+Metabolite
2951484 = Minor+Metabolite
2949163 = Enzyme
2950152 = Minor+Metabolite
2951483 = Enzyme
2934910 = Minor+Metabolite
2949162 = Metabolite
2950155 = Enzyme
2934911 = Minor+Metabolite
2949161 = Metabolite
2934916 = Minor+Metabolite
2949168 = Enzyme
2951480 = Class
2934917 = Enzyme
2949167 = Minor+Metabolite
2934914 = Metabolite
2949166 = Minor+Metabolite
2950151 = Cofactor
2934915 = Cofactor
2949165 = Metabolite
2950150 = Minor+Metabolite
2949169 = Cofactor
c_4-acetamidobutanoate = Compound
c_1-stearyl-GPC+%28O-18%3A0%29* = Compound
2950149 = Minor+Metabolite
c_4-vinylphenol+sulfate = Compound
2949160 = Enzyme
2950146 = Enzyme
2950145 = Metabolite
2950148 = Minor+Metabolite
2951479 = Class
2951478 = Enzyme
2934901 = Minor+Metabolite
2950142 = Minor+Metabolite
2951473 = Metabolite
2934902 = Metabolite
2949152 = Cofactor
2950141 = Enzyme
2949151 = Minor+Metabolite
2950144 = Metabolite
2951475 = Enzyme
2934900 = Minor+Metabolite
2949150 = Minor+Metabolite
2951474 = Minor+Metabolite
c_3-hydroxysebacate = Compound
2934905 = Metabolite
2949157 = Minor+Metabolite
2934906 = Metabolite
2949156 = Metabolite
2934903 = Metabolite
2949155 = Enzyme
2950140 = Metabolite
2951471 = Minor+Metabolite
2934904 = Enzyme
2949154 = Metabolite
2951470 = Enzyme
2934909 = Enzyme
2934907 = Minor+Metabolite
2934908 = Minor+Metabolite
2949158 = Minor+Metabolite
2934930 = Cofactor
2950179 = Minor+Metabolite
2934931 = Minor+Metabolite
2949192 = Minor+Metabolite
2950178 = Minor+Metabolite
2949191 = Enzyme
2949190 = Minor+Metabolite
2934934 = Cofactor
2949186 = Enzyme
2950175 = Minor+Metabolite
2934935 = Minor+Metabolite
2949185 = Minor+Metabolite
2934932 = Minor+Metabolite
2949184 = Metabolite
2950177 = Minor+Metabolite
c_5alpha-pregnan-3beta%2C20alpha-diol+monosulfate+%282%29 = Compound
2934933 = Metabolite
2949183 = Minor+Metabolite
2950176 = Enzyme
c_Unknown+-+23585 = Compound
2934938 = Metabolite
2950171 = Minor+Metabolite
2934939 = Cofactor
2949189 = Minor+Metabolite
2950170 = Enzyme
c_palmitoyl-oleoyl-glycerol+%2816%3A0%2F18%3A1%29+%5B2%5D* = Compound
c_Unknown+-+23587 = Compound
2934936 = Cofactor
2949188 = Metabolite
c_arachidoylcarnitine+%28C20%29* = Compound
2934937 = Enzyme
2949187 = Metabolite
2950172 = Minor+Metabolite
p_Fatty+Acid+Metabolism+%28also+BCAA+Metabolism%29 = Sub+Pathway
c_behenate+%2822%3A0%29* = Compound
2949182 = Minor+Metabolite
2951499 = Metabolite
2934920 = Minor+Metabolite
2950167 = Metabolite
2951498 = Minor+Metabolite
2949180 = Enzyme
2950169 = Cofactor
2934923 = Minor+Metabolite
2950164 = Minor+Metabolite
2951495 = Minor+Metabolite
2949174 = Minor+Metabolite
2950163 = Minor+Metabolite
2951494 = Enzyme
2934921 = Minor+Metabolite
2949173 = Cofactor
2950166 = Minor+Metabolite
2951497 = Cofactor
2934922 = Enzyme
2950165 = Minor+Metabolite
2934927 = Metabolite
2950160 = Minor+Metabolite
2951491 = Minor+Metabolite
2934928 = Enzyme
2949178 = Metabolite
2951490 = Minor+Metabolite
2934925 = Minor+Metabolite
2949177 = Unknown
2950162 = Enzyme
2934926 = Minor+Metabolite
2949176 = Minor+Metabolite
2950161 = Cofactor
2934929 = Metabolite
c_Unknown+-+23590 = Compound
2934952 = Enzyme
2934953 = Metabolite
2934950 = Minor+Metabolite
2934951 = Metabolite
2950197 = Enzyme
2934957 = Enzyme
2934954 = Minor+Metabolite
2934955 = Metabolite
2950198 = Metabolite
2950193 = Minor+Metabolite
2950192 = Minor+Metabolite
2934958 = Minor+Metabolite
2950195 = Metabolite
2934959 = Metabolite
2950194 = Unknown
2950191 = Minor+Metabolite
2950190 = Metabolite
c_Unknown+-+11593 = Compound
2934941 = Enzyme
2934942 = Minor+Metabolite
2950189 = Minor+Metabolite
2934940 = Metabolite
2949197 = Enzyme
2934946 = Enzyme
2949196 = Metabolite
2950185 = Metabolite
2934943 = Minor+Metabolite
2949195 = Minor+Metabolite
2950188 = Metabolite
2934944 = Metabolite
2949194 = Minor+Metabolite
2950187 = Enzyme
2934949 = Cofactor
2950182 = Cofactor
2950181 = Minor+Metabolite
2934947 = Minor+Metabolite
2949199 = Metabolite
2950184 = Metabolite
2950183 = Metabolite
2950180 = Minor+Metabolite
c_acesulfame = Compound
c_Unknown+-+11564 = Compound
2934970 = Minor+Metabolite
2934971 = Minor+Metabolite
c_docosapentaenoate+%28n6+DPA%3B+22%3A5n6%29 = Compound
2934974 = Cofactor
2788101 = Enzyme
2934975 = Minor+Metabolite
2934972 = Minor+Metabolite
2788103 = Metabolite
2934973 = Minor+Metabolite
2788102 = Minor+Metabolite
2934978 = Enzyme
2788105 = Minor+Metabolite
2934979 = Minor+Metabolite
2788104 = Minor+Metabolite
c_Unknown+-+24870 = Compound
2788106 = Metabolite
2788109 = Metabolite
