CompoundType (class=java.lang.String)
2782247 = Unknown
2935950 = Minor+Metabolite
2782245 = Minor+Metabolite
2782246 = Minor+Metabolite
2782243 = Minor+Metabolite
2934622 = Enzyme
2935954 = Minor+Metabolite
2934623 = Metabolite
2935953 = Cofactor
c_1-margaroyl-2-oleoyl-GPC+%2817%3A0%2F18%3A1%29* = Compound
2782241 = Enzyme
2934620 = Minor+Metabolite
2935952 = Enzyme
2934621 = Minor+Metabolite
2934626 = Minor+Metabolite
2935958 = Enzyme
2782240 = Minor+Metabolite
c_uridine = Compound
2934624 = Minor+Metabolite
2934625 = Minor+Metabolite
2935955 = Minor+Metabolite
c_urea = Compound
2934628 = Enzyme
2935959 = Metabolite
2782238 = Minor+Metabolite
2782239 = Minor+Metabolite
2782236 = Minor+Metabolite
2784899 = Minor+Metabolite
2935983 = Minor+Metabolite
2782237 = Minor+Metabolite
2934652 = Enzyme
2784898 = Metabolite
2935982 = Enzyme
2935981 = Minor+Metabolite
2784896 = Enzyme
2935980 = Minor+Metabolite
2782232 = Minor+Metabolite
2934655 = Enzyme
2784895 = Metabolite
2782233 = Enzyme
2784894 = Metabolite
2935986 = Metabolite
2782230 = Minor+Metabolite
2934653 = Metabolite
2784893 = Minor+Metabolite
2935985 = Minor+Metabolite
2782231 = Metabolite
2784892 = Minor+Metabolite
2935984 = Minor+Metabolite
2784891 = Minor+Metabolite
2784890 = Enzyme
2935989 = Enzyme
2934658 = Enzyme
2935988 = Metabolite
c_1-palmitoyl-2-linoleoyl-GPE+%2816%3A0%2F18%3A2%29 = Compound
2782229 = Minor+Metabolite
2782227 = Enzyme
2782225 = Metabolite
2934640 = Minor+Metabolite
2784888 = Metabolite
2935972 = Minor+Metabolite
2934641 = Minor+Metabolite
2784887 = Unknown
2935971 = Minor+Metabolite
2782223 = Metabolite
2784886 = Minor+Metabolite
2935970 = Minor+Metabolite
2782224 = Enzyme
2784885 = Metabolite
2782221 = Minor+Metabolite
2784884 = Metabolite
2935976 = Enzyme
2782222 = Minor+Metabolite
2784883 = Cofactor
2784882 = Minor+Metabolite
2935974 = Metabolite
2782220 = Minor+Metabolite
2934643 = Enzyme
2784881 = Enzyme
2935973 = Enzyme
2784880 = Metabolite
2934649 = Enzyme
2935979 = Minor+Metabolite
2934646 = Enzyme
2934647 = Metabolite
2782218 = Enzyme
2934670 = FinalPathway
2784879 = Minor+Metabolite
2782217 = Minor+Metabolite
2784878 = Cofactor
2934673 = Class
2784877 = Minor+Metabolite
2782215 = Minor+Metabolite
2934674 = Enzyme
2784876 = Minor+Metabolite
2784875 = Metabolite
2782213 = Enzyme
2784874 = Enzyme
2782210 = Minor+Metabolite
2934677 = Enzyme
2934678 = Metabolite
2934675 = Metabolite
2934676 = Metabolite
2934679 = Metabolite
p_Lysine+Metabolism = Sub+Pathway
c_fructose = Compound
c_Unknown+-+18938 = Compound
c_Unknown+-+17612 = Compound
2782209 = Minor+Metabolite
2782207 = Minor+Metabolite
2935990 = Minor+Metabolite
2782208 = Minor+Metabolite
2782205 = Enzyme
2782206 = Minor+Metabolite
2935994 = Minor+Metabolite
2782204 = Minor+Metabolite
2934663 = FinalPathway
2935993 = Cofactor
2782201 = Minor+Metabolite
2935992 = Minor+Metabolite
2782202 = Minor+Metabolite
2934661 = Label
2935998 = Enzyme
2934667 = FinalPathway
2935997 = Minor+Metabolite
2935995 = Minor+Metabolite
2935999 = Minor+Metabolite
c_Unknown+-+18913 = Compound
2934691 = Metabolite
2934692 = Enzyme
2934695 = Enzyme
2934696 = Metabolite
2934693 = Metabolite
2934699 = Metabolite
2934697 = Metabolite
2934698 = Enzyme
c_proline = Compound
c_Unknown+-+18914 = Compound
c_Unknown+-+18921 = Compound
c_Unknown+-+18922 = Compound
c_1-adrenoyl-GPC+%2822%3A4%29* = Compound
2934680 = Enzyme
2934681 = Metabolite
2934684 = Metabolite
2934685 = Metabolite
2934683 = Enzyme
2934688 = Metabolite
2934689 = Enzyme
2934686 = Enzyme
2934687 = Metabolite
p_Drug+-+Gastrointestinal = Sub+Pathway
p_Purine+Metabolism%2C+Guanine+containing = Sub+Pathway
c_palmitoyl-oleoyl-glycerol+%2816%3A0%2F18%3A1%29+%5B1%5D* = Compound
c_Unknown+-+18901 = Compound
c_1-oleoyl-2-linoleoyl-GPC+%2818%3A1%2F18%3A2%29* = Compound
p_Fatty+Acid%2C+Dicarboxylate = Sub+Pathway
c_pyridoxate = Compound
c_dimethyl+sulfoxide+%28DMSO%29 = Compound
c_2-palmitoleoyl-GPC+%2816%3A1%29* = Compound
c_Unknown+-+22162 = Compound
c_Unknown+-+11483 = Compound
c_1-%281-enyl-palmitoyl%29-2-linoleoyl-GPE+%28P-16%3A0%2F18%3A2%29* = Compound
2935903 = Cofactor
2935902 = Cofactor
2935901 = Minor+Metabolite
2935900 = Minor+Metabolite
2935907 = Minor+Metabolite
2935906 = Minor+Metabolite
c_N1-methyladenosine = Compound
2935905 = Minor+Metabolite
2935904 = Cofactor
2935909 = Enzyme
c_mead+acid+%2820%3A3n9%29 = Compound
2935908 = Minor+Metabolite
c_nisinate+%2824%3A6n3%29 = Compound
c_Unknown+-+11491 = Compound
2787102 = Enzyme
2787103 = Minor+Metabolite
2787104 = Metabolite
2787105 = Minor+Metabolite
2787106 = Metabolite
2787107 = Enzyme
2787108 = Metabolite
2787109 = Metabolite
p_Phosphatidylethanolamine+%28PE%29 = Sub+Pathway
2935921 = Minor+Metabolite
2787110 = Enzyme
2787111 = Metabolite
2787113 = Minor+Metabolite
2935925 = Cofactor
2787114 = Minor+Metabolite
2935924 = Minor+Metabolite
2787115 = Minor+Metabolite
2935923 = Minor+Metabolite
2787116 = Enzyme
2787117 = Minor+Metabolite
2935929 = Minor+Metabolite
2787118 = Minor+Metabolite
2935928 = Enzyme
2935927 = Minor+Metabolite
2935926 = Minor+Metabolite
c_Unknown+-+12798 = Compound
c_Unknown+-+11470 = Compound
c_1-%281-enyl-stearoyl%29-2-linoleoyl-GPE+%28P-18%3A0%2F18%3A2%29* = Compound
c_5-dodecenoate+%2812%3A1n7%29 = Compound
c_carnitine = Compound
